code,year,sinclair_present,years_before
514,2018,TRUE,14
514,2019,TRUE,15
514,2020,TRUE,16
515,2004,TRUE,-0
515,2005,TRUE,1
515,2006,TRUE,2
515,2007,TRUE,3
515,2008,TRUE,4
515,2009,TRUE,5
515,2010,TRUE,6
515,2011,TRUE,7
515,2012,TRUE,8
515,2013,TRUE,9
515,2014,TRUE,10
515,2015,TRUE,11
515,2016,TRUE,12
515,2017,TRUE,13
515,2018,TRUE,14
515,2019,TRUE,15
515,2020,TRUE,16
516,2004,FALSE,-99
516,2005,FALSE,-99
516,2006,FALSE,-99
516,2007,FALSE,-99
516,2008,FALSE,-99
516,2009,FALSE,-99
516,2010,FALSE,-99
516,2011,FALSE,-99
516,2012,FALSE,-99
516,2013,FALSE,-99
516,2014,FALSE,-99
516,2015,FALSE,-99
516,2016,FALSE,-99
516,2017,FALSE,-99
516,2018,FALSE,-99
516,2019,FALSE,-99
516,2020,FALSE,-99
517,2004,FALSE,-99
517,2005,FALSE,-99
517,2006,FALSE,-99
517,2007,FALSE,-99
517,2008,FALSE,-99
517,2009,FALSE,-99
517,2010,FALSE,-99
517,2011,FALSE,-99
517,2012,FALSE,-99
517,2013,FALSE,-99
517,2014,FALSE,-99
517,2015,FALSE,-99
517,2016,FALSE,-99
517,2017,FALSE,-99
517,2018,FALSE,-99
517,2019,FALSE,-99
517,2020,FALSE,-99
518,2004,TRUE,-0
518,2005,TRUE,1
518,2006,TRUE,2
518,2007,TRUE,3
518,2008,TRUE,4
518,2009,TRUE,5
518,2010,TRUE,6
518,2011,TRUE,7
518,2012,TRUE,8
518,2013,TRUE,9
518,2014,TRUE,10
518,2015,TRUE,11
518,2016,TRUE,12
518,2017,TRUE,13
518,2018,TRUE,14
518,2019,TRUE,15
518,2020,TRUE,16
519,2004,TRUE,-0
519,2005,TRUE,1
519,2006,TRUE,2
519,2007,TRUE,3
519,2008,TRUE,4
519,2009,TRUE,5
519,2010,TRUE,6
519,2011,TRUE,7
519,2012,TRUE,8
519,2013,TRUE,9
519,2014,TRUE,10
519,2015,TRUE,11
519,2016,TRUE,12
519,2017,TRUE,13
519,2018,TRUE,14
519,2019,TRUE,15
519,2020,TRUE,16
520,2004,FALSE,-99
520,2005,FALSE,-99
520,2006,FALSE,-99
520,2007,FALSE,-99
520,2008,FALSE,-99
520,2009,FALSE,-99
520,2010,FALSE,-99
520,2011,FALSE,-99
520,2012,FALSE,-99
520,2013,FALSE,-99
520,2014,FALSE,-99
520,2015,FALSE,-99
520,2016,FALSE,-99
520,2017,FALSE,-99
