code,year,word1,sinclair_present,market,years_before,sword1
500,2004,0.37568769853224415,TRUE,PORTLAND-AUBURN,0,1.2798176205493652
500,2005,0.17206722676411026,TRUE,PORTLAND-AUBURN,1,-0.12189967061483717
500,2006,0.23238293540798427,TRUE,PORTLAND-AUBURN,2,0.29331187958338567
500,2007,0.2032111705473412,TRUE,PORTLAND-AUBURN,3,0.09249431510243081
500,2008,0.14789023557519174,TRUE,PORTLAND-AUBURN,4,-0.28833336121359976
500,2009,0.21802025240836098,TRUE,PORTLAND-AUBURN,5,0.19443959560691385
500,2010,0.12122255940463957,TRUE,PORTLAND-AUBURN,6,-0.4719128533876303
500,2011,0.15381449513176243,TRUE,PORTLAND-AUBURN,7,-0.2475509340554603
500,2012,0.12079008295264322,TRUE,PORTLAND-AUBURN,8,-0.4748900084620715
500,2013,0.15132241328590873,TRUE,PORTLAND-AUBURN,9,-0.26470635160260797
500,2014,0.1558299374362676,TRUE,PORTLAND-AUBURN,10,-0.23367668898060506
500,2015,0.15119325387524213,TRUE,PORTLAND-AUBURN,11,-0.2655954811566055
500,2016,0.17789380814412795,TRUE,PORTLAND-AUBURN,12,-0.08178965712834295
500,2017,0.1322951487108935,TRUE,PORTLAND-AUBURN,13,-0.3956894768589205
500,2018,0.1012467505767739,TRUE,PORTLAND-AUBURN,14,-0.6094257291602314
500,2019,0.1080511549710415,TRUE,PORTLAND-AUBURN,15,-0.5625844110319663
500,2020,0.10621740484943142,TRUE,PORTLAND-AUBURN,16,-0.5752078925061782
501,2004,0.18521434258566752,FALSE,NEW YORK,-99,-0.031395315055735264
501,2005,0.21968403613158202,FALSE,NEW YORK,-99,0.2058930334334019
501,2006,0.21804549034159698,FALSE,NEW YORK,-99,0.19461333279111226
501,2007,0.21280759621154632,FALSE,NEW YORK,-99,0.15855582488129857
501,2008,0.24398082788681547,FALSE,NEW YORK,-99,0.3731514275790952
501,2009,0.15580310150957227,FALSE,NEW YORK,-99,-0.23386142670440377
501,2010,0.15337449875478412,FALSE,NEW YORK,-99,-0.25057985607054334
501,2011,0.16401435444494114,FALSE,NEW YORK,-99,-0.17733540492631938
501,2012,0.1541226388960381,FALSE,NEW YORK,-99,-0.24542968151734865
501,2013,0.14060676130796476,FALSE,NEW YORK,-99,-0.33847258214491727
501,2014,0.14698989830029593,FALSE,NEW YORK,-99,-0.29453125632278204
501,2015,0.15382218874230555,FALSE,NEW YORK,-99,-0.24749797146856456
501,2016,0.1358930437235291,FALSE,NEW YORK,-99,-0.3709216742543398
501,2017,0.1359008597858689,FALSE,NEW YORK,-99,-0.3708678687129057
501,2018,0.10554423313716875,FALSE,NEW YORK,-99,-0.5798419866166942
501,2019,0.09224342469340165,FALSE,NEW YORK,-99,-0.671404357630751
501,2020,0.09427420964009314,FALSE,NEW YORK,-99,-0.6574244942619297
502,2004,0.2681513887449138,FALSE,BINGHAMTON,-99,0.5395408519711237
502,2005,0.389221371424923,FALSE,BINGHAMTON,-99,1.3729830235262825
502,2006,0.2196641566694227,FALSE,BINGHAMTON,-99,0.20575618380523936
502,2007,0.39346474744221666,FALSE,BINGHAMTON,-99,1.4021942982311417
502,2008,0.283172812379632,FALSE,BINGHAMTON,-99,0.6429478869507091
502,2009,0.40404531301140634,FALSE,BINGHAMTON,-99,1.4750305979403284
502,2010,0.23274246855799094,FALSE,BINGHAMTON,-99,0.29578689512939105
502,2011,0.11744919400995309,FALSE,BINGHAMTON,-99,-0.49788858890029314
502,2012,0.24173993228811042,FALSE,BINGHAMTON,-99,0.3577251687107067
502,2013,0.2927568537750466,FALSE,BINGHAMTON,-99,0.7089241437903644
502,2014,0.23191453398035466,FALSE,BINGHAMTON,-99,0.29008741804170896
502,2015,0.18528724608521344,FALSE,BINGHAMTON,-99,-0.030893449526142248
502,2016,0.2600912305699602,FALSE,BINGHAMTON,-99,0.48405496204441606
502,2017,0.32904230087601777,FALSE,BINGHAMTON,-99,0.9587120859230818
502,2018,0.14806618155156304,FALSE,BINGHAMTON,-99,-0.2871221543283154
502,2019,0.11837772912394878,FALSE,BINGHAMTON,-99,-0.4914965807026941
502,2020,0.11557932002700629,FALSE,BINGHAMTON,-99,-0.5107607459650269
503,2004,0,FALSE,MACON,-10,-1.3064053585918884
503,2005,0,FALSE,MACON,-9,-1.3064053585918884
503,2006,0.5994006169322492,FALSE,MACON,-8,2.819850718671124
503,2007,0.32690909153172465,FALSE,MACON,-7,0.9440271360376221
503,2008,0.1899626629799965,FALSE,MACON,-6,0.001291981771165525
503,2009,0.2549793726000096,FALSE,MACON,-5,0.4488650833242908
503,2010,0.25794724875021213,FALSE,MACON,-4,0.4692958547572829
503,2011,0.28997553914860147,FALSE,MACON,-3,0.6897776563561565
503,2012,0.27513488276274056,FALSE,MACON,-2,0.5876150177587186
503,2013,0.19409616347585754,FALSE,MACON,-1,0.02974687664382812
503,2014,0.2064397986441325,TRUE,MACON,0,0.11472009520554516
503,2015,0.32522013809218536,TRUE,MACON,1,0.9324004306301751
503,2016,0.20800092508811652,TRUE,MACON,2,0.1254668433651206
503,2017,0.1966453016020061,TRUE,MACON,3,0.04729506793304778
503,2018,0.17746167530860035,TRUE,MACON,4,-0.0847644467572001
503,2019,0.14002439116522142,TRUE,MACON,5,-0.34248160094274555
503,2020,0.14491116200376059,TRUE,MACON,6,-0.30884121536237324
504,2004,0.2777379205599625,FALSE,PHILADELPHIA,-99,0.6055342527857095
504,2005,0.2883247945408895,FALSE,PHILADELPHIA,-99,0.6784139794142781
