code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
500,0.37568769853224415,0.17206722676411026,0.23238293540798427,0.2032111705473412,0.14789023557519174,0.21802025240836098,0.12122255940463957,0.15381449513176243,0.12079008295264322,0.15132241328590873,0.1558299374362676,0.15119325387524213,0.17789380814412795,0.1322951487108935,0.1012467505767739,0.1080511549710415,0.10621740484943142
501,0.18521434258566752,0.21968403613158202,0.21804549034159698,0.21280759621154632,0.24398082788681547,0.15580310150957227,0.15337449875478412,0.16401435444494114,0.1541226388960381,0.14060676130796476,0.14698989830029593,0.15382218874230555,0.1358930437235291,0.1359008597858689,0.10554423313716875,0.09224342469340165,0.09427420964009314
502,0.2681513887449138,0.389221371424923,0.2196641566694227,0.39346474744221666,0.283172812379632,0.40404531301140634,0.23274246855799094,0.11744919400995309,0.24173993228811042,0.2927568537750466,0.23191453398035466,0.18528724608521344,0.2600912305699602,0.32904230087601777,0.14806618155156304,0.11837772912394878,0.11557932002700629
503,0.0,0.0,0.5994006169322492,0.32690909153172465,0.1899626629799965,0.2549793726000096,0.25794724875021213,0.28997553914860147,0.27513488276274056,0.19409616347585754,0.2064397986441325,0.32522013809218536,0.20800092508811652,0.1966453016020061,0.17746167530860035,0.14002439116522142,0.14491116200376059
504,0.2777379205599625,0.2883247945408895,0.3430754004071909,0.24033538238970062,0.2921612232526335,0.1966896598939086,0.18215900735785712,0.17405307129202666,0.18157044631571606,0.18386585273186679,0.1693529164273975,0.18348153974027726,0.17313259309437137,0.15936287541186583,0.14606463092405564,0.12544504795196126,0.12686455557615267
505,0.28209980141128654,0.2950251335248408,0.31408978280738453,0.19796686268614813,0.25489147036543874,0.16053158753461505,0.1931394170624609,0.19070117463918035,0.19548854344253053,0.17516042446698202,0.21447401133752902,0.21848414091322838,0.20516396965310502,0.19706859935581486,0.14654715324114595,0.13891552429837606,0.1379490679276086
506,0.1498758310919479,0.20040480709469197,0.18061901186477516,0.16859567192290162,0.2087017904845964,0.15614108477574806,0.15724699363398048,0.1266724730230452,0.15755636665270387,0.14528416384624793,0.11453353413134414,0.12316478598588297,0.13243812753635123,0.12533023147748126,0.09818697460902662,0.0929078235430498,0.08821683040802272
507,1.0,0.3545505022868394,0.32725629589450145,0.3203071794224118,0.3718912048817534,0.20467713061454104,0.19801900199406922,0.22398981312565572,0.24978742477278917,0.21176604893695983,0.20474369822461902,0.23343562398049938,0.18636076925873712,0.17969111722610856,0.18120149010115733,0.15734183711253857,0.16329055393590294
508,0.2376934227671111,0.3304884188340993,0.401655886799796,0.348972694963751,0.2801887025934759,0.2557155417870755,0.21680557869929368,0.2587645261084587,0.22411076545853068,0.2565623788422387,0.22453422380219148,0.22780190249071935,0.23018465000517938,0.23558758829067308,0.19761778628499685,0.14881651768793486,0.12734600449536881
509,0.0,0.1393201394801436,0.1543484645461921,0.24602323447128183,0.3981265614539753,0.0,0.10657299692636935,0.18334015239872178,0.17676327352337443,0.1561161547304701,0.12843130706887668,0.16602312425509197,0.17523696502829875,0.22954937534328315,0.12404069624746862,0.1462360881070154,0.12223433819776897
510,0.4064928432236356,0.3128626839797787,0.3020066926927896,0.28397842787420463,0.2971008152671433,0.25980157521475283,0.219372803019891,0.2260145315330526,0.207951389877182,0.21187790279259278,0.21378441105626111,0.18683629476948993,0.18728875389965546,0.1707502906969351,0.189591194868628,0.14193715868614395,0.15222135130943162
511,0.1533072817301965,0.15114253308092646,0.17784851961110557,0.16754862710730992,0.1599479727236895,0.09614578385754372,0.11711127741263083,0.14903015047564988,0.15312560586299417,0.15892700685065678,0.13770028969231982,0.16992906639091526,0.15010818268782974,0.1465103693310257,0.11944689335636466,0.11242073583446868,0.10145469883872388
512,0.11021319947875767,0.23758359201443113,0.2835522665234987,0.21159142667800496,0.26709371318939296,0.17705607639443766,0.21810049202418816,0.18597475665116142,0.175566790142412,0.1669413651253805,0.19281218142359371,0.19877830357356774,0.19335465667571447,0.18505648403261343,0.14976077407293376,0.15654019094941765,0.1405158875389256
513,0.540466854747172,0.343057541395515,0.2912620124646204,0.2795532635873088,0.35601103259602424,0.20330943046066766,0.19311444505860437,0.2262318346143516,0.25398210632847934,0.2323756476561147,0.2343890085137775,0.1466079295618546,0.21743126988994307,0.1828402970928703,0.1895370287381868,0.12910089408058964,0.1409437373286388
514,0.48966496309966245,0.32705572613476813,0.30374546123013063,0.2828521386225068,0.3185714002097031,0.19841623424263202,0.1673192998497519,0.20758841218269156,0.20046227151085552,0.14713542880077432,0.1913256621282141,0.22529175121625827,0.22738619160766502,0.21703764065730533,0.1695515285974953,0.14857205366157025,0.11408002084408043
515,0.29446157709401183,0.348069374723129,0.23766988050128426,0.2054144920012123,0.2802429436667524,0.1708967621290202,0.16445349378061033,0.20905921128287325,0.20078440350041782,0.17783634699284295,0.1912981376799701,0.17533757801868005,0.23906326102773914,0.1885721644317315,0.1699103448939199,0.1345022247956628,0.14799597940155323
516,0.0,0.28724231163081293,0.34511700850079113,0.8800149360451162,0.41676507012836034,0.5217819871072585,0.14796621752010816,0.26230703291866003,0.13429955071145136,0.35121479293016805,0.31106533623547017,0.27530637699971083,0.21379268216625585,0.20815309057083575,0.18754409028291105,0.15362684326069587,0.12383084557041397
517,0.2860819422858125,0.2153172524652766,0.26134221561732845,0.21222257512027418,0.1826905878256666,0.20506941657072847,0.16637782627114897,0.20097538801090095,0.1853172853195481,0.22205725879728058,0.18988137912482295,0.17693401344293525,0.20174967130728566,0.21206545854917389,0.14315960495878985,0.1446582749526135,0.142790206757291
518,0.23091472535652735,0.36759401479517867,0.2864277034839832,0.16304096676540825,0.22891533956030846,0.17205742063668655,0.15862111752777316,0.20075808902368053,0.1614838831595322,0.22665303680757704,0.21024929002172776,0.16061021371535647,0.15488988987245228,0.1953811861447549,0.16600853395017098,0.1357715531403942,0.11451117995544291
519,0.0,0.21848854434137038,0.16873251081648077,0.3314360500304522,0.4364798809001361,0.3173072832656151,0.2697140689577507,0.2105161100874937,0.1587879953310079,0.2308091636190808,0.14790531904685827,0.18388947724046625,0.17657374930571726,0.1645699762437979,0.11789319540030302,0.1018449422558769,0.09779264927914802
